missing in API (0): none
ne: en "Niger" -> "Niamey"
nf: en "Norfolk Island" -> "Kingston"
ng: en "Nigeria" -> "Abuja"
ni: en "Nicaragua" -> "Managua"
nl: en "Netherlands" -> "Amsterdam"
no: en "Norway" -> "Oslo"
np: en "Nepal" -> "Kathmandu"
nr: en "Nauru" -> "Yaren"
nu: en "Niue" -> "Alofi"
nz: en "New Zealand" -> "Wellington"
om: en "Oman" -> "Muscat"
pa: en "Panama" -> "Panama City"
pe: en "Peru" -> "Lima"
pf: en "French Polynesia" -> "Papeetē"
pg: en "Papua New Guinea" -> "Port Moresby"
ph: en "Philippines" -> "Manila"
pk: en "Pakistan" -> "Islamabad"
pl: en "Poland" -> "Warsaw"
pm: en "St. Pierre & Miquelon" -> "Saint-Pierre"
pn: en "Pitcairn Islands" -> "Adamstown"
pr: en "Puerto Rico" -> "San Juan"
pt: en "Portugal" -> "Lisbon"
pw: en "Palau" -> "Ngerulmud"
py: en "Paraguay" -> "Asunción"
qa: en "Qatar" -> "Doha"
re: en "Réunion" -> "Saint-Denis"
ro: en "Romania" -> "Bucharest"
rs: en "Serbia" -> "Belgrade"
ru: en "Russia" -> "Moscow"
rw: en "Rwanda" -> "Kigali"
sa: en "Saudi Arabia" -> "Riyadh"
sb: en "Solomon Islands" -> "Honiara"
sc: en "Seychelles" -> "Victoria"
sd: en "Sudan" -> "Khartoum"
se: en "Sweden" -> "Stockholm"
sh: en "St. Helena" -> "Jamestown"
si: en "Slovenia" -> "Ljubljana"
sj: en "Svalbard & Jan Mayen" -> "Longyearbyen"
sk: en "Slovakia" -> "Bratislava"
sl: en "Sierra Leone" -> "Freetown"
sm: en "San Marino" -> "City of San Marino"
sn: en "Senegal" -> "Dakar"
so: en "Somalia" -> "Mogadishu"
sr: en "Suriname" -> "Paramaribo"
ss: en "South Sudan" -> "Juba"
st: en "São Tomé & Príncipe" -> "São Tomé"
sv: en "El Salvador" -> "San Salvador"
sx: en "Sint Maarten" -> "Philipsburg"
sy: en "Syria" -> "Damascus"
sz: en "Eswatini" -> "Mbabane"
tc: en "Turks & Caicos Islands" -> "Cockburn Town"
td: en "Chad" -> "N'Djamena"
tf: en "French Southern Territories" -> "Port-aux-Français"
tg: en "Togo" -> "Lomé"
th: en "Thailand" -> "Bangkok"
tj: en "Tajikistan" -> "Dushanbe"
tk: en "Tokelau" -> "Fakaofo"
tl: en "Timor-Leste" -> "Dili"
tm: en "Turkmenistan" -> "Ashgabat"
tn: en "Tunisia" -> "Tunis"
to: en "Tonga" -> "Nuku'alofa"
tr: en "Türkiye" -> "Ankara"
tt: en "Trinidad & Tobago" -> "Port of Spain"
tv: en "Tuvalu" -> "Funafuti"
tw: en "Taiwan" -> "Taipei"
tz: en "Tanzania" -> "Dodoma"
ua: en "Ukraine" -> "Kyiv"
ug: en "Uganda" -> "Kampala"
um: en "U.S. Outlying Islands" -> "Washington DC"
us: en "United States" -> "Washington, D.C."
uy: en "Uruguay" -> "Montevideo"
uz: en "Uzbekistan" -> "Tashkent"
vc: en "St. Vincent & Grenadines" -> "Kingstown"
ve: en "Venezuela" -> "Caracas"
vg: en "British Virgin Islands" -> "Road Town"
vi: en "U.S. Virgin Islands" -> "Charlotte Amalie"
vn: en "Vietnam" -> "Hanoi"
vu: en "Vanuatu" -> "Port Vila"
wf: en "Wallis & Futuna" -> "Mata-Utu"
ws: en "Samoa" -> "Apia"
ye: en "Yemen" -> "Sana'a"
yt: en "Mayotte" -> "Mamoudzou"
za: en "South Africa" -> "Pretoria"
zm: en "Zambia" -> "Lusaka"
zw: en "Zimbabwe" -> "Harare"

continent updates (5):
cy: ours [CONTINENTS.asia,CONTINENTS.europe] api CONTINENTS.europe
eg: ours [CONTINENTS.africa,CONTINENTS.asia] api CONTINENTS.africa
ge: ours [CONTINENTS.asia,CONTINENTS.europe] api CONTINENTS.asia
kz: ours [CONTINENTS.asia,CONTINENTS.europe] api CONTINENTS.asia
tl: ours [CONTINENTS.asia] api CONTINENTS.oceania
